"year","zone","domain","measure","value"
"2012","S01001794","Education Skills And Training","Decile",9
"2004","S01001794","Access To Services","Decile",4
"2006","S01001794","Access To Services","Decile",7
"2012","S01001794","Crime","Decile",9
"2009","S01001794","SIMD","Decile",9
"2009","S01001794","Access To Services","Decile",8
"2009","S01001794","Crime","Decile",7
"2012","S01001794","Access To Services","Decile",8
"2006","S01001794","Crime","Decile",6
"2012","S01001794","Employment","Decile",8
"2004","S01001794","Employment","Decile",9
"2006","S01001794","Employment","Decile",8
"2012","S01001794","SIMD","Decile",8
"2004","S01001794","SIMD","Decile",9
"2009","S01001794","Employment","Decile",7
"2012","S01001794","Health","Decile",6
"2004","S01001794","Education Skills And Training","Decile",9
"2006","S01001794","Health","Decile",9
"2006","S01001794","Education Skills And Training","Decile",9
"2009","S01001794","Health","Decile",8
"2009","S01001794","Education Skills And Training","Decile",9
"2004","S01001794","Health","Decile",10
"2006","S01001794","Income","Decile",8
"2004","S01001794","Housing","Decile",7
"2012","S01001794","Housing","Decile",7
"2004","S01001794","Income","Decile",7
"2012","S01001794","Income","Decile",7
"2009","S01001794","Housing","Decile",7
"2006","S01001794","Housing","Decile",7
"2009","S01001794","Income","Decile",7
"2009","S01001794","Education Skills And Training","Vigintile",18
"2012","S01001794","Education Skills And Training","Vigintile",18
"2006","S01001794","Education Skills And Training","Vigintile",17
"2004","S01001794","Education Skills And Training","Vigintile",18
"2009","S01001794","Employment","Vigintile",14
"2004","S01001794","Employment","Vigintile",18
"2006","S01001794","Employment","Vigintile",16
"2012","S01001794","Employment","Vigintile",16
"2004","S01001794","Health","Vigintile",19
"2012","S01001794","Health","Vigintile",11
"2006","S01001794","Health","Vigintile",17
"2009","S01001794","Health","Vigintile",15
"2012","S01001794","Housing","Vigintile",14
"2004","S01001794","Housing","Vigintile",14
"2006","S01001794","Housing","Vigintile",14
"2009","S01001794","Housing","Vigintile",14
"2004","S01001794","Access To Services","Vigintile",8
"2006","S01001794","Access To Services","Vigintile",14
"2009","S01001794","Access To Services","Vigintile",15
"2012","S01001794","Access To Services","Vigintile",15
"2006","S01001794","Crime","Vigintile",12
"2012","S01001794","Crime","Vigintile",17
"2009","S01001794","Crime","Vigintile",14
"2009","S01001794","Income","Vigintile",14
"2006","S01001794","Income","Vigintile",15
"2012","S01001794","Income","Vigintile",14
"2004","S01001794","Income","Vigintile",14
"2012","S01001794","SIMD","Vigintile",16
"2006","S01001794","SIMD","Vigintile",17
"2004","S01001794","SIMD","Vigintile",17
"2009","S01001794","SIMD","Vigintile",17
"2012","S01001794","Housing","Quintile",4
"2004","S01001794","Employment","Quintile",5
"2009","S01001794","Income","Quintile",4
"2006","S01001794","Income","Quintile",4
"2012","S01001794","Income","Quintile",4
"2006","S01001794","Housing","Quintile",4
"2004","S01001794","Income","Quintile",4
"2009","S01001794","Housing","Quintile",4
"2006","S01001794","Health","Quintile",5
"2012","S01001794","Education Skills And Training","Quintile",5
"2004","S01001794","Health","Quintile",5
"2004","S01001794","Education Skills And Training","Quintile",5
"2009","S01001794","Education Skills And Training","Quintile",5
"2012","S01001794","Health","Quintile",3
"2009","S01001794","Health","Quintile",4
"2006","S01001794","Employment","Quintile",4
"2009","S01001794","SIMD","Quintile",5
"2006","S01001794","Education Skills And Training","Quintile",5
"2004","S01001794","SIMD","Quintile",5
"2009","S01001794","Employment","Quintile",4
"2006","S01001794","SIMD","Quintile",5
"2012","S01001794","Crime","Quintile",5
"2009","S01001794","Crime","Quintile",4
"2012","S01001794","SIMD","Quintile",4
"2012","S01001794","Access To Services","Quintile",4
"2009","S01001794","Access To Services","Quintile",4
"2012","S01001794","Employment","Quintile",4
"2006","S01001794","Crime","Quintile",3
"2006","S01001794","Access To Services","Quintile",4
"2004","S01001794","Access To Services","Quintile",2
"2004","S01001794","Housing","Quintile",4
"2012","S01001795","Access To Services","Rank",1052
"2006","S01001795","Health","Rank",6371
"2009","S01001795","Employment","Rank",6171
"2012","S01001795","Health","Rank",6421
"2006","S01001795","SIMD","Rank",5634
"2006","S01001795","Crime","Rank",4873
"2004","S01001795","Employment","Rank",5834
"2012","S01001795","Crime","Rank",4456
"2004","S01001795","Access To Services","Rank",993
"2009","S01001795","Health","Rank",6425
"2012","S01001795","Income","Rank",6278
"2004","S01001795","Health","Rank",6254
"2004","S01001795","Income","Rank",6004
"2004","S01001795","SIMD","Rank",5653
"2012","S01001795","Education Skills And Training","Rank",5959
"2009","S01001795","Access To Services","Rank",2189
"2006","S01001795","Income","Rank",6081
"2012","S01001795","Employment","Rank",6192
"2006","S01001795","Housing","Rank",4056
"2012","S01001795","Housing","Rank",4056
"2006","S01001795","Employment","Rank",6235
"2009","S01001795","Crime","Rank",4199
"2006","S01001795","Access To Services","Rank",1554
"2009","S01001795","Education Skills And Training","Rank",6240
"2012","S01001795","SIMD","Rank",5900
"2004","S01001795","Education Skills And Training","Rank",5699
"2009","S01001795","SIMD","Rank",6220
"2009","S01001795","Income","Rank",6309
"2009","S01001795","Housing","Rank",4056
"2006","S01001795","Education Skills And Training","Rank",3513
"2004","S01001795","Housing","Rank",4056
"2006","S01001795","SIMD","Decile",9
"2012","S01001795","Education Skills And Training","Decile",10
"2004","S01001795","Access To Services","Decile",2
"2006","S01001795","Access To Services","Decile",3
"2012","S01001795","Crime","Decile",7
"2009","S01001795","SIMD","Decile",10
"2009","S01001795","Access To Services","Decile",4
"2009","S01001795","Crime","Decile",7
"2012","S01001795","Access To Services","Decile",2
"2006","S01001795","Crime","Decile",8
"2012","S01001795","Employment","Decile",10
"2004","S01001795","Employment","Decile",9
"2006","S01001795","Employment","Decile",10
"2012","S01001795","SIMD","Decile",10
"2004","S01001795","SIMD","Decile",9
"2009","S01001795","Employment","Decile",10
"2012","S01001795","Health","Decile",10
"2004","S01001795","Education Skills And Training","Decile",9
"2006","S01001795","Health","Decile",10
"2006","S01001795","Education Skills And Training","Decile",6
"2009","S01001795","Health","Decile",10
"2009","S01001795","Education Skills And Training","Decile",10
